,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
1890,SV Werder Bremen,1.FC Köln,draw,111.98,118.20,9,16
1891,RasenBallsport Leipzig,SC Freiburg,home,574.95,139.10,3,13
1892,1.FC Union Berlin,Arminia Bielefeld,home,82.05,56.73,7,15
1893,1.FSV Mainz 05,FC Schalke 04,draw,163.30,123.05,18,17
1894,FC Augsburg,Hertha BSC,away,93.05,228.88,6,14
1895,VfB Stuttgart,Eintracht Frankfurt,draw,189.25,269.15,8,10
1896,Borussia Dortmund,FC Bayern München,away,628.40,858.23,2,1
1897,VfL Wolfsburg,TSG 1899 Hoffenheim,home,256.83,228.15,11,12
1898,Bayer 04 Leverkusen,Borussia Mönchengladbach,home,373.25,300.75,4,5
1899,FC Bayern München,SV Werder Bremen,draw,858.23,111.98,1,9
1900,Borussia Mönchengladbach,FC Augsburg,draw,300.75,93.05,7,10
1901,TSG 1899 Hoffenheim,VfB Stuttgart,draw,228.15,189.25,13,8
1902,FC Schalke 04,VfL Wolfsburg,away,123.05,256.83,17,6
1903,Arminia Bielefeld,Bayer 04 Leverkusen,away,56.73,373.25,15,4
1904,Eintracht Frankfurt,RasenBallsport Leipzig,draw,269.15,574.95,11,2
1905,Hertha BSC,Borussia Dortmund,away,228.88,628.40,12,3
1906,SC Freiburg,1.FSV Mainz 05,away,139.10,163.30,14,18
1907,1.FC Köln,1.FC Union Berlin,away,118.20,82.05,16,5
1908,VfL Wolfsburg,SV Werder Bremen,home,256.83,111.98,6,9
1909,Borussia Dortmund,1.FC Köln,away,628.40,118.20,2,17
1910,RasenBallsport Leipzig,Arminia Bielefeld,home,574.95,56.73,4,16
1911,1.FC Union Berlin,Eintracht Frankfurt,draw,82.05,269.15,5,11
1912,FC Augsburg,SC Freiburg,draw,93.05,139.10,10,14
1913,VfB Stuttgart,FC Bayern München,away,189.25,858.23,8,1
1914,Borussia Mönchengladbach,FC Schalke 04,home,300.75,123.05,7,18
1915,Bayer 04 Leverkusen,Hertha BSC,draw,373.25,228.88,3,13
1916,1.FSV Mainz 05,TSG 1899 Hoffenheim,draw,163.30,228.15,15,12
1917,Hertha BSC,1.FC Union Berlin,home,228.88,82.05,13,6
1918,SC Freiburg,Borussia Mönchengladbach,draw,139.10,300.75,14,7
1919,Eintracht Frankfurt,Borussia Dortmund,draw,269.15,628.40,9,4
1920,1.FC Köln,VfL Wolfsburg,draw,118.20,256.83,15,5
1921,Arminia Bielefeld,1.FSV Mainz 05,home,56.73,163.30,17,16
1922,FC Bayern München,RasenBallsport Leipzig,draw,858.23,574.95,1,2
1923,SV Werder Bremen,VfB Stuttgart,away,111.98,189.25,11,10
1924,FC Schalke 04,Bayer 04 Leverkusen,away,123.05,373.25,18,3
1925,TSG 1899 Hoffenheim,FC Augsburg,home,228.15,93.05,12,8
1926,VfL Wolfsburg,Eintracht Frankfurt,home,256.83,269.15,5,9
1927,Borussia Dortmund,VfB Stuttgart,away,628.40,189.25,4,8
1928,RasenBallsport Leipzig,SV Werder Bremen,home,574.95,111.98,3,13
1929,Borussia Mönchengladbach,Hertha BSC,draw,300.75,228.88,7,12
1930,SC Freiburg,Arminia Bielefeld,home,139.10,56.73,14,16
1931,1.FSV Mainz 05,1.FC Köln,away,163.30,118.20,17,15
