,HT,AT,R,MV_HT,MV_AT,POS_HT,POS_AT
2312,Arminia Bielefeld,SpVgg Greuther Fürth,draw,65.85,36.95,17,18
2313,Eintracht Frankfurt,Arminia Bielefeld,away,228.75,65.85,8,16
2314,Bayer 04 Leverkusen,FC Augsburg,home,455.05,95.30,3,15
2315,Borussia Mönchengladbach,1.FC Union Berlin,away,236.80,115.90,12,5
2316,SC Freiburg,VfB Stuttgart,home,176.35,174.23,6,17
2317,TSG 1899 Hoffenheim,Borussia Dortmund,away,211.43,558.98,4,2
2318,SpVgg Greuther Fürth,1.FSV Mainz 05,home,36.95,131.03,18,10
2319,VfL Bochum,1.FC Köln,draw,52.25,99.28,11,9
2320,RasenBallsport Leipzig,VfL Wolfsburg,home,498.95,269.30,7,14
2321,Hertha BSC,FC Bayern München,away,155.78,790.33,13,1
2322,Hertha BSC,VfL Bochum,draw,155.78,52.25,13,11
2323,VfB Stuttgart,Eintracht Frankfurt,away,174.23,228.75,17,9
2324,1.FSV Mainz 05,TSG 1899 Hoffenheim,home,131.03,211.43,10,7
2325,FC Augsburg,1.FC Union Berlin,home,95.30,115.90,16,4
2326,Arminia Bielefeld,Borussia Mönchengladbach,draw,65.85,236.80,14,12
2327,1.FC Köln,SC Freiburg,home,99.28,176.35,8,5
2328,FC Bayern München,RasenBallsport Leipzig,home,790.33,498.95,1,6
2329,Borussia Dortmund,Bayer 04 Leverkusen,away,558.98,455.05,2,3
2330,VfL Wolfsburg,SpVgg Greuther Fürth,home,269.30,36.95,15,18
2331,RasenBallsport Leipzig,1.FC Köln,home,498.95,99.28,7,6
2332,Eintracht Frankfurt,VfL Wolfsburg,away,228.75,269.30,9,12
2333,Borussia Mönchengladbach,FC Augsburg,home,236.80,95.30,13,16
2334,SC Freiburg,1.FSV Mainz 05,draw,176.35,131.03,5,10
2335,VfL Bochum,FC Bayern München,home,52.25,790.33,11,1
2336,SpVgg Greuther Fürth,Hertha BSC,home,36.95,155.78,18,14
2337,Bayer 04 Leverkusen,VfB Stuttgart,home,455.05,174.23,3,17
2338,1.FC Union Berlin,Borussia Dortmund,away,115.90,558.98,4,2
2339,TSG 1899 Hoffenheim,Arminia Bielefeld,home,211.43,65.85,8,15
2340,1.FSV Mainz 05,Bayer 04 Leverkusen,home,131.03,455.05,9,3
2341,VfL Wolfsburg,TSG 1899 Hoffenheim,away,269.30,211.43,12,5
2342,VfB Stuttgart,VfL Bochum,draw,174.23,52.25,17,11
2343,FC Augsburg,SC Freiburg,away,95.30,176.35,16,6
2344,Arminia Bielefeld,1.FC Union Berlin,home,65.85,115.90,15,7
2345,1.FC Köln,Eintracht Frankfurt,home,99.28,228.75,8,10
2346,FC Bayern München,SpVgg Greuther Fürth,home,790.33,36.95,1,18
2347,Borussia Dortmund,Borussia Mönchengladbach,home,558.98,236.80,2,13
2348,Hertha BSC,RasenBallsport Leipzig,away,155.78,498.95,14,4
2349,TSG 1899 Hoffenheim,VfB Stuttgart,home,211.43,174.23,5,17
2350,Bayer 04 Leverkusen,Arminia Bielefeld,home,455.05,65.85,3,14
2351,1.FC Union Berlin,1.FSV Mainz 05,home,115.90,131.03,9,8
2352,Borussia Mönchengladbach,VfL Wolfsburg,draw,236.80,269.30,13,12
2353,SC Freiburg,Hertha BSC,home,176.35,155.78,6,15
2354,SpVgg Greuther Fürth,1.FC Köln,draw,36.95,99.28,18,7
2355,Eintracht Frankfurt,FC Bayern München,away,228.75,790.33,10,1
2356,VfL Bochum,RasenBallsport Leipzig,away,52.25,498.95,11,4
2357,FC Augsburg,Borussia Dortmund,draw,95.30,558.98,16,2
2358,Arminia Bielefeld,FC Augsburg,away,65.85,95.30,14,15
2359,FC Bayern München,Bayer 04 Leverkusen,draw,790.33,455.05,1,3
2360,RasenBallsport Leipzig,SC Freiburg,draw,498.95,176.35,4,5
2361,VfL Wolfsburg,1.FC Union Berlin,home,269.30,115.90,12,7
2362,Hertha BSC,Eintracht Frankfurt,away,155.78,228.75,16,10
2363,VfL Bochum,SpVgg Greuther Fürth,home,52.25,36.95,11,18
2364,VfB Stuttgart,Borussia Mönchengladbach,home,174.23,236.80,17,13
2365,1.FC Köln,TSG 1899 Hoffenheim,away,99.28,211.43,8,6
2366,1.FSV Mainz 05,Borussia Dortmund,away,131.03,558.98,9,2
2367,1.FC Union Berlin,VfB Stuttgart,draw,115.90,174.23,7,17
2368,SC Freiburg,VfL Wolfsburg,home,176.35,269.30,6,12
2369,TSG 1899 Hoffenheim,FC Bayern München,draw,211.43,790.33,4,1
2370,Borussia Mönchengladbach,Hertha BSC,home,236.80,155.78,13,16
2371,Bayer 04 Leverkusen,1.FC Köln,away,455.05,99.28,3,8
2372,Borussia Dortmund,Arminia Bielefeld,home,558.98,65.85,2,15
2373,Eintracht Frankfurt,VfL Bochum,home,228.75,52.25,10,11
2374,SpVgg Greuther Fürth,RasenBallsport Leipzig,away,36.95,498.95,18,5
2375,FC Augsburg,1.FSV Mainz 05,home,95.30,131.03,14,9
2376,VfL Bochum,Borussia Mönchengladbach,away,52.25,236.80,11,13
2377,VfB Stuttgart,FC Augsburg,home,174.23,95.30,16,14
2378,1.FSV Mainz 05,Arminia Bielefeld,home,131.03,65.85,10,15
2379,Hertha BSC,TSG 1899 Hoffenheim,home,155.78,211.43,17,6
2380,SpVgg Greuther Fürth,SC Freiburg,draw,36.95,176.35,18,5
2381,FC Bayern München,1.FC Union Berlin,home,790.33,115.90,1,8
2382,RasenBallsport Leipzig,Eintracht Frankfurt,draw,498.95,228.75,4,9
2383,VfL Wolfsburg,Bayer 04 Leverkusen,away,269.30,455.05,12,3
2384,1.FC Köln,Borussia Dortmund,draw,99.28,558.98,7,2
2385,1.FC Union Berlin,1.FC Köln,home,115.90,99.28,9,7
2386,Eintracht Frankfurt,SpVgg Greuther Fürth,draw,228.75,36.95,8,18
2387,Bayer 04 Leverkusen,Hertha BSC,home,455.05,155.78,3,16
2388,SC Freiburg,FC Bayern München,away,176.35,790.33,5,1
2389,TSG 1899 Hoffenheim,VfL Bochum,away,211.43,52.25,6,12
2390,Arminia Bielefeld,VfB Stuttgart,draw,65.85,174.23,17,15
2391,Borussia Dortmund,RasenBallsport Leipzig,away,558.98,498.95,2,4
2392,FC Augsburg,VfL Wolfsburg,home,95.30,269.30,14,13
2393,Borussia Mönchengladbach,1.FSV Mainz 05,draw,236.80,131.03,11,10
2394,VfB Stuttgart,Borussia Dortmund,away,174.23,558.98,15,2
2395,FC Bayern München,FC Augsburg,home,790.33,95.30,1,13
2396,VfL Wolfsburg,Arminia Bielefeld,home,269.30,65.85,14,16
2397,1.FC Köln,1.FSV Mainz 05,home,99.28,131.03,8,10
2398,SpVgg Greuther Fürth,Borussia Mönchengladbach,away,36.95,236.80,18,12
2399,Hertha BSC,1.FC Union Berlin,away,155.78,115.90,17,7
2400,VfL Bochum,Bayer 04 Leverkusen,draw,52.25,455.05,11,3
2401,Eintracht Frankfurt,SC Freiburg,away,228.75,176.35,9,5
2402,RasenBallsport Leipzig,TSG 1899 Hoffenheim,home,498.95,211.43,4,6
2403,Borussia Dortmund,VfL Wolfsburg,home,558.98,269.30,2,13
2404,SC Freiburg,VfL Bochum,home,176.35,52.25,5,12
2405,1.FSV Mainz 05,VfB Stuttgart,draw,131.03,174.23,10,15
2406,FC Augsburg,Hertha BSC,away,95.30,155.78,14,17
2407,Borussia Mönchengladbach,1.FC Köln,away,236.80,99.28,11,8
2408,Arminia Bielefeld,FC Bayern München,away,65.85,790.33,16,1
2409,1.FC Union Berlin,Eintracht Frankfurt,home,115.90,228.75,7,9
2410,TSG 1899 Hoffenheim,SpVgg Greuther Fürth,draw,211.43,36.95,6,18
2411,Bayer 04 Leverkusen,RasenBallsport Leipzig,away,455.05,498.95,3,4
2412,VfL Wolfsburg,1.FSV Mainz 05,home,269.30,131.03,13,9
2413,RasenBallsport Leipzig,1.FC Union Berlin,away,498.95,115.90,3,6
2414,Eintracht Frankfurt,TSG 1899 Hoffenheim,draw,228.75,211.43,10,8
2415,SC Freiburg,Borussia Mönchengladbach,draw,176.35,236.80,5,11
2416,1.FC Köln,Arminia Bielefeld,home,99.28,65.85,7,17
2417,SpVgg Greuther Fürth,Bayer 04 Leverkusen,away,36.95,455.05,18,4
2418,FC Bayern München,Borussia Dortmund,home,790.33,558.98,1,2
2419,VfL Bochum,FC Augsburg,away,52.25,95.30,12,14
2420,Hertha BSC,VfB Stuttgart,home,155.78,174.23,15,16
2421,1.FC Union Berlin,SpVgg Greuther Fürth,draw,115.90,36.95,6,18
2422,Borussia Dortmund,VfL Bochum,away,558.98,52.25,2,13
2423,VfB Stuttgart,VfL Wolfsburg,draw,174.23,269.30,16,12
2424,1.FSV Mainz 05,FC Bayern München,home,131.03,790.33,10,1
2425,FC Augsburg,1.FC Köln,away,95.30,99.28,14,7
2426,Arminia Bielefeld,Hertha BSC,draw,65.85,155.78,17,15
2427,TSG 1899 Hoffenheim,SC Freiburg,away,211.43,176.35,8,5
2428,Bayer 04 Leverkusen,Eintracht Frankfurt,home,455.05,228.75,3,9
2429,Borussia Mönchengladbach,RasenBallsport Leipzig,home,236.80,498.95,11,4
2430,VfL Bochum,Arminia Bielefeld,home,52.25,65.85,12,17
2431,SC Freiburg,1.FC Union Berlin,away,176.35,115.90,4,7
2432,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,away,211.43,455.05,8,3
2433,1.FC Köln,VfL Wolfsburg,away,99.28,269.30,6,13
2434,SpVgg Greuther Fürth,Borussia Dortmund,away,36.95,558.98,18,2
2435,Hertha BSC,1.FSV Mainz 05,away,155.78,131.03,15,9
2436,Eintracht Frankfurt,Borussia Mönchengladbach,draw,228.75,236.80,11,10
2437,FC Bayern München,VfB Stuttgart,draw,790.33,174.23,1,16
2438,RasenBallsport Leipzig,FC Augsburg,home,498.95,95.30,5,14
2439,Borussia Dortmund,Hertha BSC,home,558.98,155.78,2,15
2440,VfL Wolfsburg,FC Bayern München,draw,269.30,790.33,13,1
2441,Bayer 04 Leverkusen,SC Freiburg,home,455.05,176.35,3,5
2442,1.FC Union Berlin,VfL Bochum,home,115.90,52.25,6,11
2443,Borussia Mönchengladbach,TSG 1899 Hoffenheim,home,236.80,211.43,10,8
2444,VfB Stuttgart,1.FC Köln,home,174.23,99.28,16,7
2445,1.FSV Mainz 05,Eintracht Frankfurt,draw,131.03,228.75,9,12
2446,FC Augsburg,SpVgg Greuther Fürth,home,95.30,36.95,14,18
2447,Arminia Bielefeld,RasenBallsport Leipzig,draw,65.85,498.95,17,4
2448,Eintracht Frankfurt,FC Bayern München,away,324.55,948.95,9,9
2449,1.FC Union Berlin,Hertha BSC,home,157.95,94.00,9,9
2450,Borussia Mönchengladbach,TSG 1899 Hoffenheim,home,241.68,178.80,9,9
2451,VfL Wolfsburg,SV Werder Bremen,draw,238.30,89.50,9,9
2452,VfL Bochum,1.FSV Mainz 05,away,53.70,135.80,9,9
2453,FC Augsburg,SC Freiburg,away,132.23,200.95,9,9
2454,Borussia Dortmund,Bayer 04 Leverkusen,home,567.55,452.50,9,9
2455,VfB Stuttgart,RasenBallsport Leipzig,draw,151.05,486.40,9,9
2456,1.FC Köln,FC Schalke 04,home,115.65,87.78,9,9
2457,SC Freiburg,Borussia Dortmund,away,200.95,567.55,2,7
2458,Bayer 04 Leverkusen,FC Augsburg,away,452.50,132.23,13,17
2459,RasenBallsport Leipzig,1.FC Köln,draw,486.40,115.65,10,4
2460,TSG 1899 Hoffenheim,VfL Bochum,home,178.80,53.70,16,12
2461,Hertha BSC,Eintracht Frankfurt,draw,94.00,324.55,15,18
2462,SV Werder Bremen,VfB Stuttgart,draw,89.50,151.05,8,11
2463,FC Schalke 04,Borussia Mönchengladbach,draw,87.78,241.68,14,5
2464,1.FSV Mainz 05,1.FC Union Berlin,draw,135.80,157.95,6,3
2465,FC Bayern München,VfL Wolfsburg,home,948.95,238.30,1,9
2466,Borussia Mönchengladbach,Hertha BSC,home,241.68,94.00,4,14
2467,Borussia Dortmund,SV Werder Bremen,away,567.55,89.50,2,10
2468,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,away,452.50,178.80,18,8
2469,VfL Wolfsburg,FC Schalke 04,draw,238.30,87.78,15,13
2470,FC Augsburg,1.FSV Mainz 05,away,132.23,135.80,9,6
2471,VfB Stuttgart,SC Freiburg,away,151.05,200.95,11,7
2472,1.FC Union Berlin,RasenBallsport Leipzig,home,157.95,486.40,5,12
2473,Eintracht Frankfurt,1.FC Köln,draw,324.55,115.65,16,3
2474,VfL Bochum,FC Bayern München,away,53.70,948.95,17,1
2475,SC Freiburg,VfL Bochum,home,200.95,53.70,5,18
2476,RasenBallsport Leipzig,VfL Wolfsburg,home,486.40,238.30,11,14
2477,1.FSV Mainz 05,Bayer 04 Leverkusen,away,135.80,452.50,4,17
2478,TSG 1899 Hoffenheim,FC Augsburg,home,178.80,132.23,6,10
2479,Hertha BSC,Borussia Dortmund,away,94.00,567.55,16,7
2480,FC Schalke 04,1.FC Union Berlin,away,87.78,157.95,13,3
2481,FC Bayern München,Borussia Mönchengladbach,draw,948.95,241.68,1,2
2482,1.FC Köln,VfB Stuttgart,draw,115.65,151.05,8,12
2483,SV Werder Bremen,Eintracht Frankfurt,away,89.50,324.55,9,15
2484,Borussia Dortmund,TSG 1899 Hoffenheim,home,567.55,178.80,5,4
2485,Bayer 04 Leverkusen,SC Freiburg,away,452.50,200.95,13,3
2486,1.FC Union Berlin,FC Bayern München,draw,157.95,948.95,2,1
2487,VfL Wolfsburg,1.FC Köln,away,238.30,115.65,15,8
2488,VfL Bochum,SV Werder Bremen,away,53.70,89.50,18,10
2489,VfB Stuttgart,FC Schalke 04,draw,151.05,87.78,12,16
2490,Eintracht Frankfurt,RasenBallsport Leipzig,home,324.55,486.40,11,9
2491,FC Augsburg,Hertha BSC,away,132.23,94.00,14,17
2492,Borussia Mönchengladbach,1.FSV Mainz 05,away,241.68,135.80,6,7
2493,SV Werder Bremen,FC Augsburg,away,89.50,132.23,8,16
2494,FC Bayern München,VfB Stuttgart,draw,948.95,151.05,3,12
2495,RasenBallsport Leipzig,Borussia Dortmund,home,486.40,567.55,11,2
2496,TSG 1899 Hoffenheim,1.FSV Mainz 05,home,178.80,135.80,7,5
2497,Eintracht Frankfurt,VfL Wolfsburg,away,324.55,238.30,10,17
2498,Hertha BSC,Bayer 04 Leverkusen,draw,94.00,452.50,13,14
2499,FC Schalke 04,VfL Bochum,home,87.78,53.70,15,18
2500,1.FC Köln,1.FC Union Berlin,away,115.65,157.95,6,4
2501,SC Freiburg,Borussia Mönchengladbach,draw,200.95,241.68,1,9
2502,1.FSV Mainz 05,Hertha BSC,draw,135.80,94.00,6,15
2503,Borussia Dortmund,FC Schalke 04,home,567.55,87.78,5,12
2504,Bayer 04 Leverkusen,SV Werder Bremen,draw,452.50,89.50,17,9
2505,FC Augsburg,FC Bayern München,home,132.23,948.95,13,3
2506,VfB Stuttgart,Eintracht Frankfurt,away,151.05,324.55,14,11
2507,Borussia Mönchengladbach,RasenBallsport Leipzig,home,241.68,486.40,8,10
2508,1.FC Union Berlin,VfL Wolfsburg,home,157.95,238.30,1,16
2509,VfL Bochum,1.FC Köln,draw,53.70,115.65,18,7
2510,TSG 1899 Hoffenheim,SC Freiburg,draw,178.80,200.95,4,2
2511,FC Bayern München,Bayer 04 Leverkusen,home,948.95,452.50,5,15
2512,RasenBallsport Leipzig,VfL Bochum,home,486.40,53.70,12,18
2513,SC Freiburg,1.FSV Mainz 05,home,200.95,135.80,3,8
2514,1.FC Köln,Borussia Dortmund,home,115.65,567.55,9,2
2515,Eintracht Frankfurt,1.FC Union Berlin,home,324.55,157.95,7,1
2516,VfL Wolfsburg,VfB Stuttgart,home,238.30,151.05,17,16
2517,SV Werder Bremen,Borussia Mönchengladbach,home,89.50,241.68,10,6
2518,Hertha BSC,TSG 1899 Hoffenheim,draw,94.00,178.80,13,4
2519,FC Schalke 04,FC Augsburg,away,87.78,132.23,14,11
2520,TSG 1899 Hoffenheim,SV Werder Bremen,away,178.80,89.50,5,8
2521,Bayer 04 Leverkusen,FC Schalke 04,home,452.50,87.78,17,15
2522,1.FSV Mainz 05,RasenBallsport Leipzig,draw,135.80,486.40,12,11
2523,VfL Bochum,Eintracht Frankfurt,home,53.70,324.55,18,6
2524,FC Augsburg,VfL Wolfsburg,draw,132.23,238.30,10,13
2525,Borussia Dortmund,FC Bayern München,draw,567.55,948.95,4,3
2526,Borussia Mönchengladbach,1.FC Köln,home,241.68,115.65,9,7
2527,Hertha BSC,SC Freiburg,draw,94.00,200.95,14,2
2528,VfB Stuttgart,1.FC Union Berlin,away,151.05,157.95,16,1
2529,FC Schalke 04,TSG 1899 Hoffenheim,away,87.78,178.80,16,7
2530,Eintracht Frankfurt,Bayer 04 Leverkusen,home,324.55,452.50,8,15
2531,VfL Wolfsburg,Borussia Mönchengladbach,draw,238.30,241.68,13,6
2532,VfB Stuttgart,VfL Bochum,home,151.05,53.70,17,18
2533,SV Werder Bremen,1.FSV Mainz 05,away,89.50,135.80,5,12
2534,RasenBallsport Leipzig,Hertha BSC,home,486.40,94.00,11,14
2535,1.FC Köln,FC Augsburg,home,115.65,132.23,9,10
2536,1.FC Union Berlin,Borussia Dortmund,home,157.95,567.55,1,4
2537,FC Bayern München,SC Freiburg,home,948.95,200.95,3,2
2538,1.FSV Mainz 05,1.FC Köln,home,135.80,115.65,11,7
2539,Borussia Dortmund,VfB Stuttgart,home,567.55,151.05,8,14
2540,Bayer 04 Leverkusen,VfL Wolfsburg,draw,452.50,238.30,16,13
2541,SC Freiburg,SV Werder Bremen,home,200.95,89.50,3,9
2542,TSG 1899 Hoffenheim,FC Bayern München,away,178.80,948.95,4,2
2543,FC Augsburg,RasenBallsport Leipzig,draw,132.23,486.40,12,10
2544,Borussia Mönchengladbach,Eintracht Frankfurt,away,241.68,324.55,6,5
2545,VfL Bochum,1.FC Union Berlin,home,53.70,157.95,18,1
2546,Hertha BSC,FC Schalke 04,home,94.00,87.78,15,17
2547,SV Werder Bremen,Hertha BSC,home,89.50,94.00,11,13
2548,FC Bayern München,1.FSV Mainz 05,home,948.95,135.80,2,6
2549,RasenBallsport Leipzig,Bayer 04 Leverkusen,home,486.40,452.50,8,15
2550,VfL Wolfsburg,VfL Bochum,home,238.30,53.70,14,17
2551,VfB Stuttgart,FC Augsburg,home,151.05,132.23,16,12
2552,Eintracht Frankfurt,Borussia Dortmund,away,324.55,567.55,4,5
2553,1.FC Union Berlin,Borussia Mönchengladbach,home,157.95,241.68,1,9
2554,FC Schalke 04,SC Freiburg,away,87.78,200.95,18,3
2555,1.FC Köln,TSG 1899 Hoffenheim,draw,115.65,178.80,10,7
2556,Borussia Mönchengladbach,VfB Stuttgart,home,241.68,151.05,11,15
2557,1.FSV Mainz 05,VfL Wolfsburg,away,135.80,238.30,9,12
2558,TSG 1899 Hoffenheim,RasenBallsport Leipzig,away,178.80,486.40,7,6
2559,FC Augsburg,Eintracht Frankfurt,away,132.23,324.55,13,5
2560,Hertha BSC,FC Bayern München,away,94.00,948.95,14,2
2561,Borussia Dortmund,VfL Bochum,home,567.55,53.70,4,17
2562,SV Werder Bremen,FC Schalke 04,home,89.50,87.78,8,18
2563,Bayer 04 Leverkusen,1.FC Union Berlin,home,452.50,157.95,16,1
2564,SC Freiburg,1.FC Köln,home,200.95,115.65,3,10
2565,VfL Wolfsburg,Borussia Dortmund,home,238.30,567.55,11,4
2566,FC Bayern München,SV Werder Bremen,home,948.95,89.50,1,7
2567,VfL Bochum,Borussia Mönchengladbach,home,53.70,241.68,17,8
2568,VfB Stuttgart,Hertha BSC,home,151.05,94.00,16,15
2569,1.FC Köln,Bayer 04 Leverkusen,away,115.65,452.50,12,14
2570,RasenBallsport Leipzig,SC Freiburg,home,486.40,200.95,6,2
2571,1.FC Union Berlin,FC Augsburg,draw,157.95,132.23,3,13
2572,Eintracht Frankfurt,TSG 1899 Hoffenheim,home,324.55,178.80,5,9
2573,FC Schalke 04,1.FSV Mainz 05,home,87.78,135.80,18,10
2574,Borussia Mönchengladbach,Borussia Dortmund,home,241.68,567.55,9,6
2575,Bayer 04 Leverkusen,VfB Stuttgart,home,452.50,151.05,13,15
2576,TSG 1899 Hoffenheim,VfL Wolfsburg,away,178.80,238.30,10,8
2577,FC Augsburg,VfL Bochum,away,132.23,53.70,14,17
2578,Hertha BSC,1.FC Köln,home,94.00,115.65,16,12
2579,SV Werder Bremen,RasenBallsport Leipzig,away,89.50,486.40,7,5
2580,FC Schalke 04,FC Bayern München,away,87.78,948.95,18,1
2581,1.FSV Mainz 05,Eintracht Frankfurt,draw,135.80,324.55,11,4
2582,SC Freiburg,1.FC Union Berlin,home,200.95,157.95,3,2
2583,RasenBallsport Leipzig,FC Bayern München,draw,486.40,948.95,3,1
2584,1.FC Union Berlin,TSG 1899 Hoffenheim,home,157.95,178.80,5,11
2585,Eintracht Frankfurt,FC Schalke 04,home,324.55,87.78,4,18
2586,VfL Wolfsburg,SC Freiburg,home,238.30,200.95,7,2
2587,VfL Bochum,Hertha BSC,home,53.70,94.00,17,15
2588,VfB Stuttgart,1.FSV Mainz 05,draw,151.05,135.80,16,10
2589,1.FC Köln,SV Werder Bremen,home,115.65,89.50,13,9
2590,Borussia Dortmund,FC Augsburg,home,567.55,132.23,6,14
2591,Borussia Mönchengladbach,Bayer 04 Leverkusen,away,241.68,452.50,8,12
2592,FC Schalke 04,RasenBallsport Leipzig,away,87.78,486.40,18,5
2593,FC Bayern München,1.FC Köln,draw,948.95,115.65,1,11
2594,TSG 1899 Hoffenheim,VfB Stuttgart,draw,178.80,151.05,13,16
2595,Hertha BSC,VfL Wolfsburg,away,94.00,238.30,17,7
2596,1.FSV Mainz 05,Borussia Dortmund,away,135.80,567.55,12,6
2597,Bayer 04 Leverkusen,VfL Bochum,home,452.50,53.70,9,14
2598,SC Freiburg,Eintracht Frankfurt,draw,200.95,324.55,4,2
2599,FC Augsburg,Borussia Mönchengladbach,home,132.23,241.68,15,8
2600,SV Werder Bremen,1.FC Union Berlin,away,89.50,157.95,10,3
2601,RasenBallsport Leipzig,VfB Stuttgart,home,486.40,151.05,3,15
2602,SC Freiburg,FC Augsburg,home,200.95,132.23,6,14
2603,1.FSV Mainz 05,VfL Bochum,home,135.80,53.70,12,16
2604,TSG 1899 Hoffenheim,Borussia Mönchengladbach,away,178.80,241.68,13,9
2605,Hertha BSC,1.FC Union Berlin,away,94.00,157.95,17,2
2606,SV Werder Bremen,VfL Wolfsburg,home,89.50,238.30,11,7
2607,FC Bayern München,Eintracht Frankfurt,draw,948.95,324.55,1,4
2608,FC Schalke 04,1.FC Köln,draw,87.78,115.65,18,10
2609,Bayer 04 Leverkusen,Borussia Dortmund,away,452.50,567.55,8,5
2610,FC Augsburg,Bayer 04 Leverkusen,home,132.23,452.50,14,9
2611,Borussia Dortmund,SC Freiburg,home,567.55,200.95,4,5
2612,1.FC Union Berlin,1.FSV Mainz 05,home,157.95,135.80,2,11
2613,1.FC Köln,RasenBallsport Leipzig,draw,115.65,486.40,12,3
2614,Eintracht Frankfurt,Hertha BSC,home,324.55,94.00,6,17
2615,VfL Bochum,TSG 1899 Hoffenheim,home,53.70,178.80,16,13
2616,Borussia Mönchengladbach,FC Schalke 04,draw,241.68,87.78,8,18
2617,VfB Stuttgart,SV Werder Bremen,away,151.05,89.50,15,10
2618,VfL Wolfsburg,FC Bayern München,away,238.30,948.95,7,1
2619,FC Schalke 04,VfL Wolfsburg,draw,87.78,238.30,18,7
2620,FC Bayern München,VfL Bochum,home,948.95,53.70,1,15
2621,SC Freiburg,VfB Stuttgart,home,200.95,151.05,6,16
2622,1.FSV Mainz 05,FC Augsburg,home,135.80,132.23,12,13
2623,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,away,178.80,452.50,14,10
2624,SV Werder Bremen,Borussia Dortmund,away,89.50,567.55,8,3
2625,RasenBallsport Leipzig,1.FC Union Berlin,away,486.40,157.95,4,2
2626,Hertha BSC,Borussia Mönchengladbach,home,94.00,241.68,17,9
2627,1.FC Köln,Eintracht Frankfurt,home,115.65,324.55,11,5
2628,FC Augsburg,TSG 1899 Hoffenheim,home,132.23,178.80,13,14
2629,Borussia Mönchengladbach,FC Bayern München,home,241.68,948.95,10,1
2630,VfL Wolfsburg,RasenBallsport Leipzig,away,238.30,486.40,7,5
2631,VfL Bochum,SC Freiburg,away,53.70,200.95,15,4
2632,VfB Stuttgart,1.FC Köln,home,151.05,115.65,17,11
2633,Eintracht Frankfurt,SV Werder Bremen,home,324.55,89.50,6,9
2634,1.FC Union Berlin,FC Schalke 04,draw,157.95,87.78,2,18
2635,Borussia Dortmund,Hertha BSC,home,567.55,94.00,3,16
2636,Bayer 04 Leverkusen,1.FSV Mainz 05,away,452.50,135.80,8,12
2637,1.FSV Mainz 05,Borussia Mönchengladbach,home,135.80,241.68,9,8
2638,RasenBallsport Leipzig,Eintracht Frankfurt,home,486.40,324.55,5,6
2639,1.FC Köln,VfL Wolfsburg,away,115.65,238.30,12,7
2640,TSG 1899 Hoffenheim,Borussia Dortmund,away,178.80,567.55,15,2
2641,Hertha BSC,FC Augsburg,home,94.00,132.23,17,13
2642,SV Werder Bremen,VfL Bochum,home,89.50,53.70,11,16
2643,FC Schalke 04,VfB Stuttgart,home,87.78,151.05,18,14
2644,SC Freiburg,Bayer 04 Leverkusen,draw,200.95,452.50,4,10
2645,FC Bayern München,1.FC Union Berlin,home,948.95,157.95,1,3
2646,Borussia Dortmund,RasenBallsport Leipzig,home,567.55,486.40,2,4
2647,1.FC Union Berlin,1.FC Köln,draw,157.95,115.65,3,12
2648,1.FSV Mainz 05,TSG 1899 Hoffenheim,home,135.80,178.80,8,16
2649,Borussia Mönchengladbach,SC Freiburg,draw,241.68,200.95,10,5
2650,VfL Bochum,FC Schalke 04,away,53.70,87.78,17,18
2651,FC Augsburg,SV Werder Bremen,home,132.23,89.50,13,9
2652,VfB Stuttgart,FC Bayern München,away,151.05,948.95,15,1
2653,Bayer 04 Leverkusen,Hertha BSC,home,452.50,94.00,11,14
2654,VfL Wolfsburg,Eintracht Frankfurt,draw,238.30,324.55,7,6
2655,1.FC Köln,VfL Bochum,away,115.65,53.70,12,18
2656,FC Bayern München,FC Augsburg,home,948.95,132.23,1,13
2657,RasenBallsport Leipzig,Borussia Mönchengladbach,home,486.40,241.68,4,10
2658,Eintracht Frankfurt,VfB Stuttgart,draw,324.55,151.05,6,15
2659,Hertha BSC,1.FSV Mainz 05,draw,94.00,135.80,14,7
2660,FC Schalke 04,Borussia Dortmund,draw,87.78,567.55,17,2
2661,SC Freiburg,TSG 1899 Hoffenheim,home,200.95,178.80,5,16
2662,SV Werder Bremen,Bayer 04 Leverkusen,away,89.50,452.50,11,9
2663,VfL Wolfsburg,1.FC Union Berlin,draw,238.30,157.95,8,3
2664,Borussia Mönchengladbach,SV Werder Bremen,draw,241.68,89.50,10,11
2665,TSG 1899 Hoffenheim,Hertha BSC,home,178.80,94.00,18,15
2666,VfL Bochum,RasenBallsport Leipzig,home,53.70,486.40,14,3
2667,FC Augsburg,FC Schalke 04,draw,132.23,87.78,13,17
2668,VfB Stuttgart,VfL Wolfsburg,away,151.05,238.30,16,8
2669,Borussia Dortmund,1.FC Köln,home,567.55,115.65,2,12
2670,1.FC Union Berlin,Eintracht Frankfurt,home,157.95,324.55,4,6
2671,Bayer 04 Leverkusen,FC Bayern München,home,452.50,948.95,9,1
2672,1.FSV Mainz 05,SC Freiburg,draw,135.80,200.95,7,5
2673,Eintracht Frankfurt,VfL Bochum,draw,324.55,53.70,6,14
2674,RasenBallsport Leipzig,1.FSV Mainz 05,away,486.40,135.80,5,9
