,Home_Team,Away_Team,Goals_Home,Goals_Away,Date
3235,1.FC Nürnberg,Hamburger SV,2,0,2011-01-28
3236,FC St. Pauli,1.FC Köln,3,0,2011-01-28
3237,1.FC Kaiserslautern,1.FSV Mainz 05,0,1,2011-01-28
3238,VfB Stuttgart,SC Freiburg,0,1,2011-01-28
3239,Eintracht Frankfurt,Borussia Mönchengladbach,0,1,2011-01-28
3240,Borussia Dortmund,FC Schalke 04,0,0,2011-04-02
3241,1.FSV Mainz 05,SV Werder Bremen,1,1,2011-04-02
3242,TSG 1899 Hoffenheim,1.FC Kaiserslautern,3,2,2011-04-02
3243,1.FC Köln,FC Bayern München,3,2,2011-04-02
3244,Hannover 96,VfL Wolfsburg,1,0,2011-04-02
3245,1.FC Nürnberg,Bayer 04 Leverkusen,1,0,2011-04-02
3246,Borussia Mönchengladbach,VfB Stuttgart,2,3,2011-04-02
3247,SC Freiburg,Eintracht Frankfurt,0,0,2011-04-02
3248,Hamburger SV,FC St. Pauli,0,1,2011-04-02
3249,FC Bayern München,TSG 1899 Hoffenheim,4,0,2011-12-02
3250,FC Schalke 04,SC Freiburg,1,0,2011-12-02
3251,VfB Stuttgart,1.FC Nürnberg,1,4,2011-12-02
3252,VfL Wolfsburg,Hamburger SV,0,1,2011-12-02
3253,Eintracht Frankfurt,Bayer 04 Leverkusen,0,3,2011-12-02
3254,FC St. Pauli,Borussia Mönchengladbach,3,1,2011-12-02
3255,1.FC Kaiserslautern,Borussia Dortmund,1,1,2011-12-02
3256,1.FC Köln,1.FSV Mainz 05,4,2,2011-12-02
3257,SV Werder Bremen,Hannover 96,1,1,2011-12-02
3258,1.FC Nürnberg,Eintracht Frankfurt,3,0,2011-02-18
3259,Borussia Dortmund,FC St. Pauli,2,0,2011-02-18
3260,Hamburger SV,SV Werder Bremen,4,0,2011-02-18
3261,TSG 1899 Hoffenheim,1.FC Köln,1,1,2011-02-18
3262,SC Freiburg,VfL Wolfsburg,2,1,2011-02-18
3263,Hannover 96,1.FC Kaiserslautern,3,0,2011-02-18
3264,1.FSV Mainz 05,FC Bayern München,1,3,2011-02-18
3265,Bayer 04 Leverkusen,VfB Stuttgart,4,2,2011-02-18
3266,Borussia Mönchengladbach,FC Schalke 04,2,1,2011-02-18
3267,VfL Wolfsburg,Borussia Mönchengladbach,2,1,2011-02-25
3268,FC Schalke 04,1.FC Nürnberg,1,1,2011-02-25
3269,TSG 1899 Hoffenheim,1.FSV Mainz 05,1,2,2011-02-25
3270,1.FC Köln,SC Freiburg,1,0,2011-02-25
3271,1.FC Kaiserslautern,Hamburger SV,1,1,2011-02-25
3272,FC St. Pauli,Hannover 96,0,1,2011-02-25
3273,FC Bayern München,Borussia Dortmund,1,3,2011-02-25
3274,Eintracht Frankfurt,VfB Stuttgart,0,2,2011-02-25
3275,SV Werder Bremen,Bayer 04 Leverkusen,2,2,2011-02-25
3276,Borussia Dortmund,1.FC Köln,1,0,2011-04-03
3277,VfB Stuttgart,FC Schalke 04,1,0,2011-04-03
3278,Borussia Mönchengladbach,TSG 1899 Hoffenheim,2,0,2011-04-03
3279,Hannover 96,FC Bayern München,3,1,2011-04-03
3280,1.FC Nürnberg,FC St. Pauli,5,0,2011-04-03
3281,Eintracht Frankfurt,1.FC Kaiserslautern,0,0,2011-04-03
3282,Bayer 04 Leverkusen,VfL Wolfsburg,3,0,2011-04-03
3283,SC Freiburg,SV Werder Bremen,1,3,2011-04-03
3284,Hamburger SV,1.FSV Mainz 05,2,4,2011-04-03
3285,1.FC Köln,Hannover 96,4,0,2011-11-03
3286,FC Bayern München,Hamburger SV,6,0,2011-11-03
3287,FC Schalke 04,Eintracht Frankfurt,2,1,2011-11-03
3288,VfL Wolfsburg,1.FC Nürnberg,1,2,2011-11-03
3289,TSG 1899 Hoffenheim,Borussia Dortmund,1,0,2011-11-03
3290,1.FC Kaiserslautern,SC Freiburg,2,1,2011-11-03
3291,SV Werder Bremen,Borussia Mönchengladbach,1,1,2011-11-03
3292,1.FSV Mainz 05,Bayer 04 Leverkusen,0,1,2011-11-03
3293,FC St. Pauli,VfB Stuttgart,1,2,2011-11-03
3294,Borussia Mönchengladbach,1.FC Kaiserslautern,0,1,2011-03-18
3295,Hamburger SV,1.FC Köln,6,2,2011-03-18
3296,Eintracht Frankfurt,FC St. Pauli,2,1,2011-03-18
3297,SC Freiburg,FC Bayern München,1,2,2011-03-18
3298,Hannover 96,TSG 1899 Hoffenheim,2,0,2011-03-18
3299,1.FC Nürnberg,SV Werder Bremen,1,3,2011-03-18
3300,Borussia Dortmund,1.FSV Mainz 05,1,1,2011-03-18
3301,Bayer 04 Leverkusen,FC Schalke 04,2,0,2011-03-18
3302,VfB Stuttgart,VfL Wolfsburg,1,1,2011-03-18
3303,FC St. Pauli,FC Schalke 04,0,2,2011-01-04
3304,FC Bayern München,Borussia Mönchengladbach,1,0,2011-01-04
3305,SV Werder Bremen,VfB Stuttgart,1,1,2011-01-04
3306,Borussia Dortmund,Hannover 96,4,1,2011-01-04
3307,1.FSV Mainz 05,SC Freiburg,1,1,2011-01-04
3308,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,1,2011-01-04
3309,TSG 1899 Hoffenheim,Hamburger SV,0,0,2011-01-04
3310,1.FC Köln,1.FC Nürnberg,1,0,2011-01-04
3311,VfL Wolfsburg,Eintracht Frankfurt,1,1,2011-01-04
3312,Eintracht Frankfurt,SV Werder Bremen,1,1,2011-08-04
3313,FC Schalke 04,VfL Wolfsburg,1,0,2011-08-04
3314,Hamburger SV,Borussia Dortmund,1,1,2011-08-04
3315,SC Freiburg,TSG 1899 Hoffenheim,3,2,2011-08-04
3316,Hannover 96,1.FSV Mainz 05,2,0,2011-08-04
3317,1.FC Nürnberg,FC Bayern München,1,1,2011-08-04
3318,VfB Stuttgart,1.FC Kaiserslautern,2,4,2011-08-04
3319,Borussia Mönchengladbach,1.FC Köln,5,1,2011-08-04
3320,Bayer 04 Leverkusen,FC St. Pauli,2,1,2011-08-04
3321,1.FSV Mainz 05,Borussia Mönchengladbach,1,0,2011-04-15
3322,Hamburger SV,Hannover 96,0,0,2011-04-15
3323,VfL Wolfsburg,FC St. Pauli,2,2,2011-04-15
3324,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,0,2011-04-15
3325,1.FC Köln,VfB Stuttgart,1,3,2011-04-15
3326,1.FC Kaiserslautern,1.FC Nürnberg,0,2,2011-04-15
3327,SV Werder Bremen,FC Schalke 04,1,1,2011-04-15
3328,FC Bayern München,Bayer 04 Leverkusen,5,1,2011-04-15
3329,Borussia Dortmund,SC Freiburg,3,0,2011-04-15
3330,SC Freiburg,Hannover 96,1,3,2011-04-21
3331,FC Schalke 04,1.FC Kaiserslautern,0,1,2011-04-21
3332,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,1,2011-04-21
3333,VfB Stuttgart,Hamburger SV,3,0,2011-04-21
3334,Eintracht Frankfurt,FC Bayern München,1,1,2011-04-21
3335,FC St. Pauli,SV Werder Bremen,1,3,2011-04-21
3336,Borussia Mönchengladbach,Borussia Dortmund,1,0,2011-04-21
3337,VfL Wolfsburg,1.FC Köln,4,1,2011-04-21
3338,1.FC Nürnberg,1.FSV Mainz 05,0,0,2011-04-21
3339,SV Werder Bremen,VfL Wolfsburg,0,1,2011-04-29
3340,1.FC Kaiserslautern,FC St. Pauli,2,0,2011-04-29
3341,Borussia Dortmund,1.FC Nürnberg,2,0,2011-04-29
3342,Hamburger SV,SC Freiburg,0,2,2011-04-29
3343,1.FSV Mainz 05,Eintracht Frankfurt,3,0,2011-04-29
3344,TSG 1899 Hoffenheim,VfB Stuttgart,1,2,2011-04-29
3345,1.FC Köln,Bayer 04 Leverkusen,2,0,2011-04-29
3346,Hannover 96,Borussia Mönchengladbach,0,1,2011-04-29
3347,FC Bayern München,FC Schalke 04,4,1,2011-04-29
3348,FC Schalke 04,1.FSV Mainz 05,1,3,2011-07-05
3349,SV Werder Bremen,Borussia Dortmund,2,0,2011-07-05
3350,Bayer 04 Leverkusen,Hamburger SV,1,1,2011-07-05
3351,VfB Stuttgart,Hannover 96,2,1,2011-07-05
3352,VfL Wolfsburg,1.FC Kaiserslautern,1,2,2011-07-05
3353,Eintracht Frankfurt,1.FC Köln,0,2,2011-07-05
3354,Borussia Mönchengladbach,SC Freiburg,2,0,2011-07-05
3355,1.FC Nürnberg,TSG 1899 Hoffenheim,1,2,2011-07-05
3356,FC St. Pauli,FC Bayern München,1,8,2011-07-05
3357,FC Bayern München,VfB Stuttgart,2,1,2011-05-14
3358,Borussia Dortmund,Eintracht Frankfurt,3,1,2011-05-14
3359,Hamburger SV,Borussia Mönchengladbach,1,1,2011-05-14
3360,1.FSV Mainz 05,FC St. Pauli,2,1,2011-05-14
3361,TSG 1899 Hoffenheim,VfL Wolfsburg,1,3,2011-05-14
3362,1.FC Köln,FC Schalke 04,2,1,2011-05-14
3363,SC Freiburg,Bayer 04 Leverkusen,0,1,2011-05-14
3364,Hannover 96,1.FC Nürnberg,3,1,2011-05-14
3365,1.FC Kaiserslautern,SV Werder Bremen,3,2,2011-05-14
3366,Borussia Dortmund,Hamburger SV,3,1,2011-05-08
3367,SV Werder Bremen,1.FC Kaiserslautern,2,0,2011-05-08
3368,Hannover 96,TSG 1899 Hoffenheim,2,1,2011-05-08
3369,VfB Stuttgart,FC Schalke 04,3,0,2011-05-08
3370,1.FC Köln,VfL Wolfsburg,0,3,2011-05-08
3371,FC Augsburg,SC Freiburg,2,2,2011-05-08
3372,Hertha BSC,1.FC Nürnberg,0,1,2011-05-08
3373,1.FSV Mainz 05,Bayer 04 Leverkusen,2,0,2011-05-08
3374,FC Bayern München,Borussia Mönchengladbach,0,1,2011-05-08
3375,Hamburger SV,Hertha BSC,2,2,2011-08-13
3376,1.FC Nürnberg,Hannover 96,1,2,2011-08-13
3377,SC Freiburg,1.FSV Mainz 05,1,2,2011-08-13
3378,TSG 1899 Hoffenheim,Borussia Dortmund,1,0,2011-08-13
3379,VfL Wolfsburg,FC Bayern München,0,1,2011-08-13
3380,FC Schalke 04,1.FC Köln,5,1,2011-08-13
3381,Borussia Mönchengladbach,VfB Stuttgart,1,1,2011-08-13
3382,1.FC Kaiserslautern,FC Augsburg,1,1,2011-08-13
3383,Bayer 04 Leverkusen,SV Werder Bremen,1,0,2011-08-13
3384,Borussia Mönchengladbach,VfL Wolfsburg,4,1,2011-08-19
3385,Borussia Dortmund,1.FC Nürnberg,2,0,2011-08-19
3386,FC Bayern München,Hamburger SV,5,0,2011-08-19
3387,SV Werder Bremen,SC Freiburg,5,3,2011-08-19
3388,VfB Stuttgart,Bayer 04 Leverkusen,0,1,2011-08-19
3389,FC Augsburg,TSG 1899 Hoffenheim,0,2,2011-08-19
3390,1.FC Köln,1.FC Kaiserslautern,1,1,2011-08-19
3391,1.FSV Mainz 05,FC Schalke 04,2,4,2011-08-19
3392,Hannover 96,Hertha BSC,1,1,2011-08-19
3393,Hertha BSC,VfB Stuttgart,1,0,2011-08-26
3394,Hamburger SV,1.FC Köln,3,4,2011-08-26
3395,1.FC Nürnberg,FC Augsburg,1,0,2011-08-26
3396,SC Freiburg,VfL Wolfsburg,3,0,2011-08-26
3397,1.FC Kaiserslautern,FC Bayern München,0,3,2011-08-26
3398,TSG 1899 Hoffenheim,SV Werder Bremen,1,2,2011-08-26
3399,Bayer 04 Leverkusen,Borussia Dortmund,0,0,2011-08-26
3400,Hannover 96,1.FSV Mainz 05,1,1,2011-08-26
3401,FC Schalke 04,Borussia Mönchengladbach,1,0,2011-08-26
3402,FC Augsburg,Bayer 04 Leverkusen,1,4,2011-09-09
3403,Borussia Dortmund,Hertha BSC,1,2,2011-09-09
3404,FC Bayern München,SC Freiburg,7,0,2011-09-09
3405,1.FSV Mainz 05,TSG 1899 Hoffenheim,0,4,2011-09-09
3406,VfB Stuttgart,Hannover 96,3,0,2011-09-09
3407,Borussia Mönchengladbach,1.FC Kaiserslautern,1,0,2011-09-09
3408,SV Werder Bremen,Hamburger SV,2,0,2011-09-09
3409,1.FC Köln,1.FC Nürnberg,1,2,2011-09-09
3410,VfL Wolfsburg,FC Schalke 04,2,1,2011-09-09
3411,SC Freiburg,VfB Stuttgart,1,2,2011-09-16
3412,Bayer 04 Leverkusen,1.FC Köln,1,4,2011-09-16
3413,Hamburger SV,Borussia Mönchengladbach,0,1,2011-09-16
3414,1.FC Nürnberg,SV Werder Bremen,1,1,2011-09-16
3415,TSG 1899 Hoffenheim,VfL Wolfsburg,3,1,2011-09-16
3416,Hertha BSC,FC Augsburg,2,2,2011-09-16
3417,1.FC Kaiserslautern,1.FSV Mainz 05,3,1,2011-09-16
3418,Hannover 96,Borussia Dortmund,2,1,2011-09-16
3419,FC Schalke 04,FC Bayern München,0,2,2011-09-16
3420,VfB Stuttgart,Hamburger SV,1,2,2011-09-23
3421,FC Schalke 04,SC Freiburg,4,2,2011-09-23
3422,1.FSV Mainz 05,Borussia Dortmund,1,2,2011-09-23
3423,VfL Wolfsburg,1.FC Kaiserslautern,1,0,2011-09-23
3424,Borussia Mönchengladbach,1.FC Nürnberg,1,0,2011-09-23
3425,FC Augsburg,Hannover 96,0,0,2011-09-23
3426,FC Bayern München,Bayer 04 Leverkusen,3,0,2011-09-23
3427,1.FC Köln,TSG 1899 Hoffenheim,2,0,2011-09-23
3428,SV Werder Bremen,Hertha BSC,2,1,2011-09-23
3429,1.FC Kaiserslautern,VfB Stuttgart,0,2,2011-09-30
3430,Borussia Dortmund,FC Augsburg,4,0,2011-09-30
3431,Bayer 04 Leverkusen,VfL Wolfsburg,3,1,2011-09-30
3432,1.FC Nürnberg,1.FSV Mainz 05,3,3,2011-09-30
3433,SC Freiburg,Borussia Mönchengladbach,1,0,2011-09-30
3434,TSG 1899 Hoffenheim,FC Bayern München,0,0,2011-09-30
3435,Hertha BSC,1.FC Köln,3,0,2011-09-30
3436,Hannover 96,SV Werder Bremen,3,2,2011-09-30
3437,Hamburger SV,FC Schalke 04,1,2,2011-09-30
3438,SV Werder Bremen,Borussia Dortmund,0,2,2011-10-14
3439,FC Bayern München,Hertha BSC,4,0,2011-10-14
3440,1.FSV Mainz 05,FC Augsburg,0,1,2011-10-14
3441,VfB Stuttgart,TSG 1899 Hoffenheim,2,0,2011-10-14
3442,VfL Wolfsburg,1.FC Nürnberg,2,1,2011-10-14
3443,Borussia Mönchengladbach,Bayer 04 Leverkusen,2,2,2011-10-14
3444,FC Schalke 04,1.FC Kaiserslautern,1,2,2011-10-14
3445,SC Freiburg,Hamburger SV,1,2,2011-10-14
3446,1.FC Köln,Hannover 96,2,0,2011-10-14
3447,FC Augsburg,SV Werder Bremen,1,1,2011-10-21
3448,Borussia Dortmund,1.FC Köln,5,0,2011-10-21
3449,1.FC Nürnberg,VfB Stuttgart,2,2,2011-10-21
3450,1.FC Kaiserslautern,SC Freiburg,1,0,2011-10-21
3451,TSG 1899 Hoffenheim,Borussia Mönchengladbach,1,0,2011-10-21
3452,Hertha BSC,1.FSV Mainz 05,0,0,2011-10-21
3453,Hamburger SV,VfL Wolfsburg,1,1,2011-10-21
3454,Bayer 04 Leverkusen,FC Schalke 04,0,1,2011-10-21
3455,Hannover 96,FC Bayern München,2,1,2011-10-21
3456,SC Freiburg,Bayer 04 Leverkusen,0,1,2011-10-28
3457,FC Bayern München,1.FC Nürnberg,4,0,2011-10-28
3458,FC Schalke 04,TSG 1899 Hoffenheim,3,1,2011-10-28
3459,VfL Wolfsburg,Hertha BSC,2,3,2011-10-28
3460,Borussia Mönchengladbach,Hannover 96,2,1,2011-10-28
3461,VfB Stuttgart,Borussia Dortmund,1,1,2011-10-28
3462,1.FSV Mainz 05,SV Werder Bremen,1,3,2011-10-28
3463,1.FC Köln,FC Augsburg,3,0,2011-10-28
3464,Hamburger SV,1.FC Kaiserslautern,1,1,2011-10-28
3465,1.FSV Mainz 05,VfB Stuttgart,3,1,2011-04-11
3466,Borussia Dortmund,VfL Wolfsburg,5,1,2011-04-11
3467,SV Werder Bremen,1.FC Köln,3,2,2011-04-11
3468,1.FC Nürnberg,SC Freiburg,1,2,2011-04-11
3469,TSG 1899 Hoffenheim,1.FC Kaiserslautern,1,1,2011-04-11
3470,Hertha BSC,Borussia Mönchengladbach,1,2,2011-04-11
3471,Bayer 04 Leverkusen,Hamburger SV,2,2,2011-04-11
3472,Hannover 96,FC Schalke 04,2,2,2011-04-11
3473,FC Augsburg,FC Bayern München,1,2,2011-04-11
3474,1.FC Kaiserslautern,Bayer 04 Leverkusen,0,2,2011-11-18
3475,FC Schalke 04,1.FC Nürnberg,4,0,2011-11-18
3476,SC Freiburg,Hertha BSC,2,2,2011-11-18
3477,VfL Wolfsburg,Hannover 96,4,1,2011-11-18
3478,Borussia Mönchengladbach,SV Werder Bremen,5,0,2011-11-18
3479,FC Bayern München,Borussia Dortmund,0,1,2011-11-18
3480,VfB Stuttgart,FC Augsburg,2,1,2011-11-18
3481,Hamburger SV,TSG 1899 Hoffenheim,2,0,2011-11-18
3482,1.FC Köln,1.FSV Mainz 05,1,1,2011-11-18
3483,1.FC Köln,Borussia Mönchengladbach,0,3,2011-11-25
3484,Borussia Dortmund,FC Schalke 04,2,0,2011-11-25
3485,1.FC Nürnberg,1.FC Kaiserslautern,1,0,2011-11-25
3486,TSG 1899 Hoffenheim,SC Freiburg,1,1,2011-11-25
3487,FC Augsburg,VfL Wolfsburg,2,0,2011-11-25
3488,Hertha BSC,Bayer 04 Leverkusen,3,3,2011-11-25
3489,Hannover 96,Hamburger SV,1,1,2011-11-25
3490,SV Werder Bremen,VfB Stuttgart,2,0,2011-11-25
3491,1.FSV Mainz 05,FC Bayern München,3,2,2011-11-25
3492,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,2,0,2011-02-12
3493,FC Bayern München,SV Werder Bremen,4,1,2011-02-12
3494,SC Freiburg,Hannover 96,1,1,2011-02-12
3495,1.FC Kaiserslautern,Hertha BSC,1,1,2011-02-12
3496,VfL Wolfsburg,1.FSV Mainz 05,2,2,2011-02-12
3497,Borussia Mönchengladbach,Borussia Dortmund,1,1,2011-02-12
3498,VfB Stuttgart,1.FC Köln,2,2,2011-02-12
3499,Hamburger SV,1.FC Nürnberg,2,0,2011-02-12
3500,FC Schalke 04,FC Augsburg,3,1,2011-02-12
3501,Hertha BSC,FC Schalke 04,1,2,2011-09-12
3502,SV Werder Bremen,VfL Wolfsburg,4,1,2011-09-12
3503,1.FSV Mainz 05,Hamburger SV,0,0,2011-09-12
3504,1.FC Nürnberg,TSG 1899 Hoffenheim,0,2,2011-09-12
3505,1.FC Köln,SC Freiburg,4,0,2011-09-12
3506,FC Augsburg,Borussia Mönchengladbach,1,0,2011-09-12
3507,Hannover 96,Bayer 04 Leverkusen,0,0,2011-09-12
3508,Borussia Dortmund,1.FC Kaiserslautern,1,1,2011-09-12
3509,VfB Stuttgart,FC Bayern München,1,2,2011-09-12
3510,FC Bayern München,1.FC Köln,3,0,2011-12-16
3511,Bayer 04 Leverkusen,1.FC Nürnberg,0,3,2011-12-16
3512,Hamburger SV,FC Augsburg,1,1,2011-12-16
3513,SC Freiburg,Borussia Dortmund,1,4,2011-12-16
3514,TSG 1899 Hoffenheim,Hertha BSC,1,1,2011-12-16
3515,VfL Wolfsburg,VfB Stuttgart,1,0,2011-12-16
3516,FC Schalke 04,SV Werder Bremen,5,0,2011-12-16
3517,1.FC Kaiserslautern,Hannover 96,1,1,2011-12-16
3518,Borussia Mönchengladbach,1.FSV Mainz 05,1,0,2011-12-16
3519,Borussia Mönchengladbach,FC Bayern München,3,1,2012-01-20
3520,TSG 1899 Hoffenheim,Hannover 96,0,0,2012-01-20
3521,FC Schalke 04,VfB Stuttgart,3,1,2012-01-20
3522,VfL Wolfsburg,1.FC Köln,1,0,2012-01-20
3523,SC Freiburg,FC Augsburg,1,0,2012-01-20
3524,1.FC Nürnberg,Hertha BSC,2,0,2012-01-20
3525,1.FC Kaiserslautern,SV Werder Bremen,0,0,2012-01-20
3526,Hamburger SV,Borussia Dortmund,1,5,2012-01-20
3527,Bayer 04 Leverkusen,1.FSV Mainz 05,3,2,2012-01-20
3528,Hannover 96,1.FC Nürnberg,1,0,2012-01-27
3529,SV Werder Bremen,Bayer 04 Leverkusen,1,1,2012-01-27
3530,Hertha BSC,Hamburger SV,1,2,2012-01-27
3531,FC Augsburg,1.FC Kaiserslautern,2,2,2012-01-27
3532,Borussia Dortmund,TSG 1899 Hoffenheim,3,1,2012-01-27
3533,FC Bayern München,VfL Wolfsburg,2,0,2012-01-27
3534,1.FC Köln,FC Schalke 04,1,4,2012-01-27
3535,1.FSV Mainz 05,SC Freiburg,3,1,2012-01-27
3536,VfB Stuttgart,Borussia Mönchengladbach,0,3,2012-01-27
3537,1.FC Nürnberg,Borussia Dortmund,0,2,2012-03-02
3538,Hertha BSC,Hannover 96,0,1,2012-03-02
3539,FC Schalke 04,1.FSV Mainz 05,1,1,2012-03-02
3540,Bayer 04 Leverkusen,VfB Stuttgart,2,2,2012-03-02
3541,VfL Wolfsburg,Borussia Mönchengladbach,0,0,2012-03-02
3542,TSG 1899 Hoffenheim,FC Augsburg,2,2,2012-03-02
3543,Hamburger SV,FC Bayern München,1,1,2012-03-02
3544,SC Freiburg,SV Werder Bremen,2,2,2012-03-02
3545,1.FC Kaiserslautern,1.FC Köln,0,1,2012-03-02
3546,VfL Wolfsburg,SC Freiburg,3,2,2012-10-02
3547,Borussia Dortmund,Bayer 04 Leverkusen,1,0,2012-10-02
3548,1.FSV Mainz 05,Hannover 96,1,1,2012-10-02
3549,FC Bayern München,1.FC Kaiserslautern,2,0,2012-10-02
3550,SV Werder Bremen,TSG 1899 Hoffenheim,1,1,2012-10-02
3551,VfB Stuttgart,Hertha BSC,5,0,2012-10-02
3552,Borussia Mönchengladbach,FC Schalke 04,3,0,2012-10-02
3553,FC Augsburg,1.FC Nürnberg,0,0,2012-10-02
3554,1.FC Köln,Hamburger SV,0,1,2012-10-02
3555,TSG 1899 Hoffenheim,1.FSV Mainz 05,1,1,2012-02-17
3556,Hertha BSC,Borussia Dortmund,0,1,2012-02-17
3557,Hamburger SV,SV Werder Bremen,1,3,2012-02-17
3558,1.FC Nürnberg,1.FC Köln,2,1,2012-02-17
3559,1.FC Kaiserslautern,Borussia Mönchengladbach,1,2,2012-02-17
3560,Bayer 04 Leverkusen,FC Augsburg,4,1,2012-02-17
3561,SC Freiburg,FC Bayern München,0,0,2012-02-17
3562,FC Schalke 04,VfL Wolfsburg,4,0,2012-02-17
3563,Hannover 96,VfB Stuttgart,4,2,2012-02-17
3564,Borussia Mönchengladbach,Hamburger SV,1,1,2012-02-24
3565,1.FC Köln,Bayer 04 Leverkusen,0,2,2012-02-24
3566,VfB Stuttgart,SC Freiburg,4,1,2012-02-24
3567,1.FSV Mainz 05,1.FC Kaiserslautern,4,0,2012-02-24
3568,VfL Wolfsburg,TSG 1899 Hoffenheim,1,2,2012-02-24
3569,FC Augsburg,Hertha BSC,3,0,2012-02-24
3570,SV Werder Bremen,1.FC Nürnberg,0,1,2012-02-24
3571,FC Bayern München,FC Schalke 04,2,0,2012-02-24
3572,Borussia Dortmund,Hannover 96,3,1,2012-02-24
3573,Bayer 04 Leverkusen,FC Bayern München,2,0,2012-03-03
3574,SC Freiburg,FC Schalke 04,2,1,2012-03-03
3575,Hamburger SV,VfB Stuttgart,0,4,2012-03-03
3576,1.FC Kaiserslautern,VfL Wolfsburg,0,0,2012-03-03
3577,Hertha BSC,SV Werder Bremen,1,0,2012-03-03
3578,Hannover 96,FC Augsburg,2,2,2012-03-03
3579,Borussia Dortmund,1.FSV Mainz 05,2,1,2012-03-03
3580,1.FC Nürnberg,Borussia Mönchengladbach,1,0,2012-03-03
3581,TSG 1899 Hoffenheim,1.FC Köln,1,1,2012-03-03
3582,VfB Stuttgart,1.FC Kaiserslautern,0,0,2012-09-03
3583,FC Bayern München,TSG 1899 Hoffenheim,7,1,2012-09-03
3584,1.FSV Mainz 05,1.FC Nürnberg,2,1,2012-09-03
3585,1.FC Köln,Hertha BSC,1,0,2012-09-03
3586,VfL Wolfsburg,Bayer 04 Leverkusen,3,2,2012-09-03
3587,Borussia Mönchengladbach,SC Freiburg,0,0,2012-09-03
3588,FC Augsburg,Borussia Dortmund,0,0,2012-09-03
3589,SV Werder Bremen,Hannover 96,3,0,2012-09-03
3590,FC Schalke 04,Hamburger SV,3,1,2012-09-03
3591,TSG 1899 Hoffenheim,VfB Stuttgart,1,2,2012-03-16
3592,Borussia Dortmund,SV Werder Bremen,1,0,2012-03-16
3593,Bayer 04 Leverkusen,Borussia Mönchengladbach,1,2,2012-03-16
3594,Hamburger SV,SC Freiburg,1,3,2012-03-16
3595,1.FC Nürnberg,VfL Wolfsburg,1,3,2012-03-16
3596,FC Augsburg,1.FSV Mainz 05,2,1,2012-03-16
3597,Hertha BSC,FC Bayern München,0,6,2012-03-16
3598,1.FC Kaiserslautern,FC Schalke 04,1,4,2012-03-16
3599,Hannover 96,1.FC Köln,4,1,2012-03-16
3600,VfL Wolfsburg,Hamburger SV,2,1,2012-03-23
3601,FC Bayern München,Hannover 96,2,1,2012-03-23
3602,SV Werder Bremen,FC Augsburg,1,1,2012-03-23
3603,1.FSV Mainz 05,Hertha BSC,1,3,2012-03-23
3604,SC Freiburg,1.FC Kaiserslautern,2,0,2012-03-23
3605,Borussia Mönchengladbach,TSG 1899 Hoffenheim,1,2,2012-03-23
3606,FC Schalke 04,Bayer 04 Leverkusen,2,0,2012-03-23
3607,VfB Stuttgart,1.FC Nürnberg,1,0,2012-03-23
3608,1.FC Köln,Borussia Dortmund,1,6,2012-03-23
3609,Borussia Dortmund,VfB Stuttgart,4,4,2012-03-30
3610,1.FC Nürnberg,FC Bayern München,0,1,2012-03-30
3611,1.FC Kaiserslautern,Hamburger SV,0,1,2012-03-30
3612,SV Werder Bremen,1.FSV Mainz 05,0,3,2012-03-30
3613,Bayer 04 Leverkusen,SC Freiburg,0,2,2012-03-30
3614,FC Augsburg,1.FC Köln,2,1,2012-03-30
3615,Hertha BSC,VfL Wolfsburg,1,4,2012-03-30
3616,Hannover 96,Borussia Mönchengladbach,2,1,2012-03-30
3617,TSG 1899 Hoffenheim,FC Schalke 04,1,1,2012-03-30
3618,SC Freiburg,1.FC Nürnberg,2,2,2012-07-04
3619,1.FC Kaiserslautern,TSG 1899 Hoffenheim,1,2,2012-07-04
3620,FC Bayern München,FC Augsburg,2,1,2012-07-04
3621,VfL Wolfsburg,Borussia Dortmund,1,3,2012-07-04
3622,1.FC Köln,SV Werder Bremen,1,1,2012-07-04
3623,VfB Stuttgart,1.FSV Mainz 05,4,1,2012-07-04
3624,Borussia Mönchengladbach,Hertha BSC,0,0,2012-07-04
3625,FC Schalke 04,Hannover 96,3,0,2012-07-04
3626,Hamburger SV,Bayer 04 Leverkusen,1,1,2012-07-04
3627,Hertha BSC,SC Freiburg,1,2,2012-10-04
3628,FC Augsburg,VfB Stuttgart,1,3,2012-10-04
3629,1.FSV Mainz 05,1.FC Köln,4,0,2012-10-04
3630,SV Werder Bremen,Borussia Mönchengladbach,2,2,2012-10-04
3631,Borussia Dortmund,FC Bayern München,1,0,2012-10-04
3632,1.FC Nürnberg,FC Schalke 04,4,1,2012-10-04
3633,TSG 1899 Hoffenheim,Hamburger SV,4,0,2012-10-04
3634,Bayer 04 Leverkusen,1.FC Kaiserslautern,3,1,2012-10-04
3635,Hannover 96,VfL Wolfsburg,2,0,2012-10-04
3636,VfB Stuttgart,SV Werder Bremen,4,1,2012-04-13
3637,FC Schalke 04,Borussia Dortmund,1,2,2012-04-13
3638,Hamburger SV,Hannover 96,1,0,2012-04-13
